case,level_1,id,org:resource,concept:name,time:timestamp,org:role,case_start,time_from_start,time_from_last,time_from_start_category,time_from_last_category,case_end,cumulativeTimeS,remainingTimeS,executionTimeS,cumulativeTimeCategory,executionTimeCategory,remainingTimeNor,executionTimeD,cumulativeTimeD,remainingTimeD
6,25,dd_declaration 86805_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-09 10:40:47+00:00,1835448,457204.0,7,6,2017-01-30 16:31:35+00:00,1835448,0,457204.0,7,6,0.0,5.291712963,21.243611111,0.0
7,26,st_step 86814_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 11:14:36+00:00,EMPLOYEE,2017-01-09 11:14:36+00:00,0,0.0,1,1,2017-01-30 16:31:35+00:00,0,1833419,0.0,1,1,0.04522268723771964,0.0,0.0,21.220127315
7,27,st_step 86813_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 11:14:49+00:00,SUPERVISOR,2017-01-09 11:14:36+00:00,13,13.0,1,1,2017-01-30 16:31:35+00:00,13,1833406,13.0,1,1,0.045222366582738927,0.000150463,0.000150463,21.219976852
7,28,st_step 86815_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 14:35:19+00:00,MISSING,2017-01-09 11:14:36+00:00,98443,98430.0,5,5,2017-01-30 16:31:35+00:00,98443,1734976,98430.0,5,5,0.0427945150633597,1.139236111,1.139386574,20.080740741
7,29,st_step 86812_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-20 13:43:27+00:00,EMPLOYEE,2017-01-09 11:14:36+00:00,959331,860888.0,6,6,2017-01-30 16:31:35+00:00,959331,874088,860888.0,6,6,0.021560051598812868,9.963981481,11.103368056,10.116759259
7,30,st_step 86811_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-20 13:44:43+00:00,SUPERVISOR,2017-01-09 11:14:36+00:00,959407,76.0,6,1,2017-01-30 16:31:35+00:00,959407,874012,76.0,6,1,0.02155817700046406,0.00087963,11.104247685,10.11587963
7,31,dd_declaration 86809_19,SYSTEM,Request Payment,2017-01-27 09:55:21+00:00,UNDEFINED,2017-01-09 11:14:36+00:00,1550445,591038.0,7,6,2017-01-30 16:31:35+00:00,1550445,282974,591038.0,7,6,0.006979770962560374,6.840717593,17.944965278,3.275162037
7,32,dd_declaration 86809_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-09 11:14:36+00:00,1833419,282974.0,7,6,2017-01-30 16:31:35+00:00,1833419,0,282974.0,7,6,0.0,3.275162037,21.220127315,0.0
8,33,st_step 86819_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 13:51:44+00:00,EMPLOYEE,2017-01-09 13:51:44+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,614430,0.0,1,1,0.015155387677051498,0.0,0.0,7.111458333
8,34,st_step 86818_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 13:52:05+00:00,SUPERVISOR,2017-01-09 13:51:44+00:00,21,21.0,1,1,2017-01-16 16:32:14+00:00,21,614409,21.0,1,1,0.015154869695928802,0.000243056,0.000243056,7.111215278
8,35,dd_declaration 86816_19,SYSTEM,Request Payment,2017-01-11 08:04:31+00:00,UNDEFINED,2017-01-09 13:51:44+00:00,151967,151946.0,5,5,2017-01-16 16:32:14+00:00,151967,462463,151946.0,5,5,0.011407004949778277,1.758634259,1.758877315,5.352581019
8,36,dd_declaration 86816_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 13:51:44+00:00,614430,462463.0,6,6,2017-01-16 16:32:14+00:00,614430,0,462463.0,6,6,0.0,5.352581019,7.111458333,0.0
9,37,st_step 86719_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 14:10:05+00:00,EMPLOYEE,2017-01-09 14:10:05+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,613329,0.0,1,1,0.015128230666761581,0.0,0.0,7.098715278
9,38,st_step 86718_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 14:11:23+00:00,SUPERVISOR,2017-01-09 14:10:05+00:00,78,78.0,1,1,2017-01-16 16:32:14+00:00,78,613251,78.0,1,1,0.01512630673687728,0.000902778,0.000902778,7.0978125
9,39,dd_declaration 86716_19,SYSTEM,Request Payment,2017-01-13 13:09:36+00:00,UNDEFINED,2017-01-09 14:10:05+00:00,341971,341893.0,6,6,2017-01-16 16:32:14+00:00,341971,271358,341893.0,6,6,0.006693253404406263,3.957094907,3.957997685,3.140717593
9,40,dd_declaration 86716_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 14:10:05+00:00,613329,271358.0,6,6,2017-01-16 16:32:14+00:00,613329,0,271358.0,6,6,0.0,3.140717593,7.098715278,0.0
10,41,st_step 86728_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 14:57:21+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,0,0.0,1,1,2017-01-26 16:30:39+00:00,0,1474398,0.0,1,1,0.036367158635270694,0.0,0.0,17.064791667
10,42,st_step 86729_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 14:57:24+00:00,SUPERVISOR,2017-01-09 14:57:21+00:00,3,3.0,1,1,2017-01-26 16:30:39+00:00,3,1474395,3.0,1,1,0.03636708463796745,3.4722e-05,3.4722e-05,17.064756944
10,43,st_step 86730_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 12:08:27+00:00,MISSING,2017-01-09 14:57:21+00:00,76266,76263.0,5,5,2017-01-26 16:30:39+00:00,76266,1398132,76263.0,5,5,0.03448599919224544,0.882673611,0.882708333,16.182083333
10,44,st_step 86725_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-17 15:51:42+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,694461,618195.0,6,6,2017-01-26 16:30:39+00:00,694461,779937,618195.0,6,6,0.01923774489962488,7.155034722,8.037743056,9.027048611
10,45,st_step 86726_0,STAFF MEMBER,Declaration REJECTED by PRE_APPROVER,2017-01-17 15:51:54+00:00,PRE_APPROVER,2017-01-09 14:57:21+00:00,694473,12.0,6,1,2017-01-26 16:30:39+00:00,694473,779925,12.0,6,1,0.01923744891041191,0.000138889,8.037881944,9.026909722
10,46,st_step 86727_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2017-01-19 11:19:38+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,850937,156464.0,6,5,2017-01-26 16:30:39+00:00,850937,623461,156464.0,6,5,0.015378144225578509,1.810925926,9.84880787,7.215983796
10,47,st_step 86724_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-19 15:13:16+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,864955,14018.0,6,4,2017-01-26 16:30:39+00:00,864955,609443,14018.0,6,4,0.01503237949329508,0.16224537,10.011053241,7.053738426
10,48,st_step 86723_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-01-19 15:13:46+00:00,PRE_APPROVER,2017-01-09 14:57:21+00:00,864985,30.0,6,1,2017-01-26 16:30:39+00:00,864985,609413,30.0,6,1,0.015031639520262657,0.000347222,10.011400463,7.053391204
10,49,st_step 86722_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-23 07:52:57+00:00,SUPERVISOR,2017-01-09 14:57:21+00:00,1184136,319151.0,6,6,2017-01-26 16:30:39+00:00,1184136,290262,319151.0,6,6,0.007159535077903621,3.693877315,13.705277778,3.359513889
10,50,dd_declaration 86720_19,SYSTEM,Request Payment,2017-01-23 12:04:01+00:00,UNDEFINED,2017-01-09 14:57:21+00:00,1199200,15064.0,6,4,2017-01-26 16:30:39+00:00,1199200,275198,15064.0,6,4,0.006787969952556382,0.174351852,13.87962963,3.185162037
10,51,dd_declaration 86720_20,SYSTEM,Payment Handled,2017-01-26 16:30:39+00:00,UNDEFINED,2017-01-09 14:57:21+00:00,1474398,275198.0,7,6,2017-01-26 16:30:39+00:00,1474398,0,275198.0,7,6,0.0,3.185162037,17.064791667,0.0
11,52,st_step 86822_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 09:04:52+00:00,EMPLOYEE,2017-01-10 09:04:52+00:00,0,0.0,1,1,2017-01-19 16:31:49+00:00,0,804417,0.0,1,1,0.01984156289408189,0.0,0.0,9.310381944
11,53,st_step 86823_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 09:05:02+00:00,SUPERVISOR,2017-01-10 09:04:52+00:00,10,10.0,1,1,2017-01-19 16:31:49+00:00,10,804407,10.0,1,1,0.019841316236404415,0.000115741,0.000115741,9.310266204
11,54,dd_declaration 86820_19,SYSTEM,Request Payment,2017-01-17 14:35:05+00:00,UNDEFINED,2017-01-10 09:04:52+00:00,624613,624603.0,6,6,2017-01-19 16:31:49+00:00,624613,179804,624603.0,6,6,0.004435003704058343,7.229201389,7.22931713,2.081064815
11,55,dd_declaration 86820_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-10 09:04:52+00:00,804417,179804.0,6,5,2017-01-19 16:31:49+00:00,804417,0,179804.0,6,5,0.0,2.081064815,9.310381944,0.0
12,56,st_step 86827_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 09:52:07+00:00,EMPLOYEE,2017-01-10 09:52:07+00:00,0,0.0,1,1,2017-01-19 16:31:49+00:00,0,801582,0.0,1,1,0.01977163544251793,0.0,0.0,9.277569444
12,57,st_step 86826_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 11:06:07+00:00,SUPERVISOR,2017-01-10 09:52:07+00:00,177240,177240.0,5,5,2017-01-19 16:31:49+00:00,177240,624342,177240.0,5,5,0.015399874766963993,2.051388889,2.051388889,7.226180556
12,58,dd_declaration 86824_19,SYSTEM,Request Payment,2017-01-16 13:21:49+00:00,UNDEFINED,2017-01-10 09:52:07+00:00,530982,353742.0,6,6,2017-01-19 16:31:49+00:00,530982,270600,353742.0,6,6,0.006674556752453714,4.094236111,6.145625,3.131944444
12,59,dd_declaration 86824_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-10 09:52:07+00:00,801582,270600.0,6,6,2017-01-19 16:31:49+00:00,801582,0,270600.0,6,6,0.0,3.131944444,9.277569444,0.0
13,60,st_step 86831_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 10:46:39+00:00,EMPLOYEE,2017-01-10 10:46:39+00:00,0,0.0,1,1,2017-01-12 16:31:22+00:00,0,193483,0.0,1,1,0.0047724067410753945,0.0,0.0,2.239386574
13,61,st_step 86830_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 10:46:45+00:00,SUPERVISOR,2017-01-10 10:46:39+00:00,6,6.0,1,1,2017-01-12 16:31:22+00:00,6,193477,6.0,1,1,0.004772258746468911,6.9444e-05,6.9444e-05,2.23931713
13,62,dd_declaration 86828_19,SYSTEM,Request Payment,2017-01-10 14:39:15+00:00,UNDEFINED,2017-01-10 10:46:39+00:00,13956,13950.0,4,4,2017-01-12 16:31:22+00:00,13956,179527,13950.0,4,4,0.0044281712863923055,0.161458333,0.161527778,2.077858796
13,63,dd_declaration 86828_20,SYSTEM,Payment Handled,2017-01-12 16:31:22+00:00,UNDEFINED,2017-01-10 10:46:39+00:00,193483,179527.0,5,5,2017-01-12 16:31:22+00:00,193483,0,179527.0,5,5,0.0,2.077858796,2.239386574,0.0
14,64,st_step 86744_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 10:50:59+00:00,EMPLOYEE,2017-01-10 10:50:59+00:00,0,0.0,1,1,2017-01-23 16:32:00+00:00,0,1143661,0.0,1,1,0.028209276607789973,0.0,0.0,13.23681713
14,65,st_step 86743_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 10:51:02+00:00,SUPERVISOR,2017-01-10 10:50:59+00:00,3,3.0,1,1,2017-01-23 16:32:00+00:00,3,1143658,3.0,1,1,0.02820920261048673,3.4722e-05,3.4722e-05,13.236782407
14,66,st_step 86745_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 14:46:59+00:00,MISSING,2017-01-10 10:50:59+00:00,14160,14157.0,4,4,2017-01-23 16:32:00+00:00,14160,1129501,14157.0,4,4,0.027860009336486406,0.163854167,0.163888889,13.072928241
14,67,st_step 86741_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-17 14:59:44+00:00,EMPLOYEE,2017-01-10 10:50:59+00:00,619725,605565.0,6,6,2017-01-23 16:32:00+00:00,619725,523936,605565.0,6,6,0.01292328369051585,7.008854167,7.172743056,6.064074074
14,68,st_step 86742_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-17 14:59:47+00:00,SUPERVISOR,2017-01-10 10:50:59+00:00,619728,3.0,6,1,2017-01-23 16:32:00+00:00,619728,523933,3.0,6,1,0.012923209693212607,3.4722e-05,7.172777778,6.064039352
14,69,dd_declaration 86739_19,SYSTEM,Request Payment,2017-01-18 08:38:13+00:00,UNDEFINED,2017-01-10 10:50:59+00:00,683234,63506.0,6,5,2017-01-23 16:32:00+00:00,683234,460427,63506.0,6,5,0.011356785446644516,0.735023148,7.907800926,5.329016204
14,70,dd_declaration 86739_20,SYSTEM,Payment Handled,2017-01-23 16:32:00+00:00,UNDEFINED,2017-01-10 10:50:59+00:00,1143661,460427.0,6,6,2017-01-23 16:32:00+00:00,1143661,0,460427.0,6,6,0.0,5.329016204,13.23681713,0.0
15,71,st_step 86748_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 11:55:00+00:00,EMPLOYEE,2017-01-10 11:55:00+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,535034,0.0,1,1,0.013197024380976793,0.0,0.0,6.192523148
15,72,st_step 86749_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 11:55:11+00:00,SUPERVISOR,2017-01-10 11:55:00+00:00,11,11.0,1,1,2017-01-16 16:32:14+00:00,11,535023,11.0,1,1,0.013196753057531572,0.000127315,0.000127315,6.192395833
15,73,dd_declaration 86746_19,SYSTEM,Request Payment,2017-01-12 08:02:17+00:00,UNDEFINED,2017-01-10 11:55:00+00:00,158837,158826.0,5,5,2017-01-16 16:32:14+00:00,158837,376197,158826.0,5,5,0.00927918782927875,1.838263889,1.838391204,4.354131944
15,74,dd_declaration 86746_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 11:55:00+00:00,535034,376197.0,6,6,2017-01-16 16:32:14+00:00,535034,0,376197.0,6,6,0.0,4.354131944,6.192523148,0.0
16,75,st_step 86751_0,STAFF MEMBER,Declaration SAVED by EMPLOYEE,2017-01-10 12:41:35+00:00,EMPLOYEE,2017-01-10 12:41:35+00:00,0,0.0,1,1,2017-01-10 12:41:35+00:00,0,0,0.0,1,1,0.0,0.0,0.0,0.0
17,76,st_step 86755_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:09:02+00:00,EMPLOYEE,2017-01-10 13:09:02+00:00,0,0.0,1,1,2017-01-30 16:31:35+00:00,0,1740153,0.0,1,1,0.042922209742988125,0.0,0.0,20.140659722
17,77,st_step 86754_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:10:16+00:00,SUPERVISOR,2017-01-10 13:09:02+00:00,74,74.0,1,1,2017-01-30 16:31:35+00:00,74,1740079,74.0,1,1,0.042920384476174814,0.000856481,0.000856481,20.139803241
17,78,dd_declaration 86752_19,SYSTEM,Request Payment,2017-01-25 09:31:00+00:00,UNDEFINED,2017-01-10 13:09:02+00:00,1282918,1282844.0,7,7,2017-01-30 16:31:35+00:00,1282918,457235,1282844.0,7,7,0.011278052315994729,14.847731481,14.848587963,5.292071759
17,79,dd_declaration 86752_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-10 13:09:02+00:00,1740153,457235.0,7,6,2017-01-30 16:31:35+00:00,1740153,0,457235.0,7,6,0.0,5.292071759,20.140659722,0.0
18,80,st_step 86758_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:32:55+00:00,EMPLOYEE,2017-01-10 13:32:55+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,529159,0.0,1,1,0.01305211299546066,0.0,0.0,6.124525463
18,81,st_step 86759_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:33:05+00:00,SUPERVISOR,2017-01-10 13:32:55+00:00,10,10.0,1,1,2017-01-16 16:32:14+00:00,10,529149,10.0,1,1,0.013051866337783186,0.000115741,0.000115741,6.124409722
18,82,dd_declaration 86756_19,SYSTEM,Request Payment,2017-01-11 16:15:45+00:00,UNDEFINED,2017-01-10 13:32:55+00:00,96170,96160.0,5,5,2017-01-16 16:32:14+00:00,96170,432989,96160.0,5,5,0.010680006111190616,1.112962963,1.113078704,5.011446759
18,83,dd_declaration 86756_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:32:55+00:00,529159,432989.0,6,6,2017-01-16 16:32:14+00:00,529159,0,432989.0,6,6,0.0,5.011446759,6.124525463,0.0
19,84,st_step 86834_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:35:50+00:00,EMPLOYEE,2017-01-10 13:35:50+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,528984,0.0,1,1,0.01304779648610486,0.0,0.0,6.1225
19,85,st_step 86835_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:35:54+00:00,SUPERVISOR,2017-01-10 13:35:50+00:00,4,4.0,1,1,2017-01-16 16:32:14+00:00,4,528980,4.0,1,1,0.01304769782303387,4.6296e-05,4.6296e-05,6.122453704
19,86,dd_declaration 86832_19,SYSTEM,Request Payment,2017-01-11 16:16:15+00:00,UNDEFINED,2017-01-10 13:35:50+00:00,96025,96021.0,5,5,2017-01-16 16:32:14+00:00,96025,432959,96021.0,5,5,0.010679266138158195,1.111354167,1.111400463,5.011099537
19,87,dd_declaration 86832_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:35:50+00:00,528984,432959.0,6,6,2017-01-16 16:32:14+00:00,528984,0,432959.0,6,6,0.0,5.011099537,6.1225,0.0
20,88,st_step 86838_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:37:53+00:00,EMPLOYEE,2017-01-10 13:37:53+00:00,0,0.0,1,1,2017-01-16 16:32:14+00:00,0,528861,0.0,1,1,0.013044762596671927,0.0,0.0,6.121076389
20,89,st_step 86839_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:38:00+00:00,SUPERVISOR,2017-01-10 13:37:53+00:00,7,7.0,1,1,2017-01-16 16:32:14+00:00,7,528854,7.0,1,1,0.013044589936297694,8.1019e-05,8.1019e-05,6.12099537
20,90,dd_declaration 86836_19,SYSTEM,Request Payment,2017-01-11 16:16:42+00:00,UNDEFINED,2017-01-10 13:37:53+00:00,95929,95922.0,5,5,2017-01-16 16:32:14+00:00,95929,432932,95922.0,5,5,0.010678600162429015,1.110208333,1.110289352,5.010787037
20,91,dd_declaration 86836_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:37:53+00:00,528861,432932.0,6,6,2017-01-16 16:32:14+00:00,528861,0,432932.0,6,6,0.0,5.010787037,6.121076389,0.0
