case,id,org:resource,concept:name,time:timestamp,org:role,case_start,time_from_start,time_from_last,time_from_start_category,time_from_last_category
3,st_step 86802_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-02-02 17:58:50+00:00,PRE_APPROVER,2017-01-09 10:13:33+00:00,2101517,2101517.0,7,7
3,st_step 86803_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-02-09 04:15:04+00:00,SUPERVISOR,2017-01-09 10:13:33+00:00,2656891,555374.0,7,6
3,dd_declaration 86800_19,SYSTEM,Request Payment,2017-02-09 15:00:15+00:00,UNDEFINED,2017-01-09 10:13:33+00:00,2695602,38711.0,7,4
3,dd_declaration 86800_20,SYSTEM,Payment Handled,2017-02-13 16:32:14+00:00,UNDEFINED,2017-01-09 10:13:33+00:00,3046721,351119.0,7,6
4,st_step 86733_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:24:20+00:00,EMPLOYEE,2017-01-09 10:24:20+00:00,0,0.0,1,1
4,st_step 86734_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:37:23+00:00,SUPERVISOR,2017-01-09 10:24:20+00:00,783,783.0,2,2
4,dd_declaration 86731_19,SYSTEM,Request Payment,2017-01-11 13:37:18+00:00,UNDEFINED,2017-01-09 10:24:20+00:00,184378,183595.0,5,5
4,dd_declaration 86731_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 10:24:20+00:00,626874,442496.0,6,6
5,st_step 86738_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:30:26+00:00,EMPLOYEE,2017-01-09 10:30:26+00:00,0,0.0,1,1
5,st_step 86737_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:37:18+00:00,SUPERVISOR,2017-01-09 10:30:26+00:00,412,412.0,2,2
5,dd_declaration 86735_19,SYSTEM,Request Payment,2017-01-11 13:37:18+00:00,UNDEFINED,2017-01-09 10:30:26+00:00,184012,183600.0,5,5
5,dd_declaration 86735_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 10:30:26+00:00,626508,442496.0,6,6
6,st_step 86807_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 10:40:47+00:00,EMPLOYEE,2017-01-09 10:40:47+00:00,0,0.0,1,1
6,st_step 86808_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 10:41:23+00:00,SUPERVISOR,2017-01-09 10:40:47+00:00,36,36.0,1,1
6,dd_declaration 86805_19,SYSTEM,Request Payment,2017-01-25 09:31:31+00:00,UNDEFINED,2017-01-09 10:40:47+00:00,1378244,1378208.0,7,7
6,dd_declaration 86805_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-09 10:40:47+00:00,1835448,457204.0,7,6
7,st_step 86814_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 11:14:36+00:00,EMPLOYEE,2017-01-09 11:14:36+00:00,0,0.0,1,1
7,st_step 86813_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 11:14:49+00:00,SUPERVISOR,2017-01-09 11:14:36+00:00,13,13.0,1,1
7,st_step 86815_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 14:35:19+00:00,MISSING,2017-01-09 11:14:36+00:00,98443,98430.0,5,5
7,st_step 86812_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-20 13:43:27+00:00,EMPLOYEE,2017-01-09 11:14:36+00:00,959331,860888.0,6,6
7,st_step 86811_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-20 13:44:43+00:00,SUPERVISOR,2017-01-09 11:14:36+00:00,959407,76.0,6,1
7,dd_declaration 86809_19,SYSTEM,Request Payment,2017-01-27 09:55:21+00:00,UNDEFINED,2017-01-09 11:14:36+00:00,1550445,591038.0,7,6
7,dd_declaration 86809_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-09 11:14:36+00:00,1833419,282974.0,7,6
8,st_step 86819_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 13:51:44+00:00,EMPLOYEE,2017-01-09 13:51:44+00:00,0,0.0,1,1
8,st_step 86818_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 13:52:05+00:00,SUPERVISOR,2017-01-09 13:51:44+00:00,21,21.0,1,1
8,dd_declaration 86816_19,SYSTEM,Request Payment,2017-01-11 08:04:31+00:00,UNDEFINED,2017-01-09 13:51:44+00:00,151967,151946.0,5,5
8,dd_declaration 86816_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 13:51:44+00:00,614430,462463.0,6,6
9,st_step 86719_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 14:10:05+00:00,EMPLOYEE,2017-01-09 14:10:05+00:00,0,0.0,1,1
9,st_step 86718_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 14:11:23+00:00,SUPERVISOR,2017-01-09 14:10:05+00:00,78,78.0,1,1
9,dd_declaration 86716_19,SYSTEM,Request Payment,2017-01-13 13:09:36+00:00,UNDEFINED,2017-01-09 14:10:05+00:00,341971,341893.0,6,6
9,dd_declaration 86716_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-09 14:10:05+00:00,613329,271358.0,6,6
10,st_step 86728_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-09 14:57:21+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,0,0.0,1,1
10,st_step 86729_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-09 14:57:24+00:00,SUPERVISOR,2017-01-09 14:57:21+00:00,3,3.0,1,1
10,st_step 86730_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 12:08:27+00:00,MISSING,2017-01-09 14:57:21+00:00,76266,76263.0,5,5
10,st_step 86725_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-17 15:51:42+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,694461,618195.0,6,6
10,st_step 86726_0,STAFF MEMBER,Declaration REJECTED by PRE_APPROVER,2017-01-17 15:51:54+00:00,PRE_APPROVER,2017-01-09 14:57:21+00:00,694473,12.0,6,1
10,st_step 86727_0,STAFF MEMBER,Declaration REJECTED by EMPLOYEE,2017-01-19 11:19:38+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,850937,156464.0,6,5
10,st_step 86724_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-19 15:13:16+00:00,EMPLOYEE,2017-01-09 14:57:21+00:00,864955,14018.0,6,4
10,st_step 86723_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-01-19 15:13:46+00:00,PRE_APPROVER,2017-01-09 14:57:21+00:00,864985,30.0,6,1
10,st_step 86722_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-23 07:52:57+00:00,SUPERVISOR,2017-01-09 14:57:21+00:00,1184136,319151.0,6,6
10,dd_declaration 86720_19,SYSTEM,Request Payment,2017-01-23 12:04:01+00:00,UNDEFINED,2017-01-09 14:57:21+00:00,1199200,15064.0,6,4
10,dd_declaration 86720_20,SYSTEM,Payment Handled,2017-01-26 16:30:39+00:00,UNDEFINED,2017-01-09 14:57:21+00:00,1474398,275198.0,7,6
11,st_step 86822_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 09:04:52+00:00,EMPLOYEE,2017-01-10 09:04:52+00:00,0,0.0,1,1
11,st_step 86823_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 09:05:02+00:00,SUPERVISOR,2017-01-10 09:04:52+00:00,10,10.0,1,1
11,dd_declaration 86820_19,SYSTEM,Request Payment,2017-01-17 14:35:05+00:00,UNDEFINED,2017-01-10 09:04:52+00:00,624613,624603.0,6,6
11,dd_declaration 86820_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-10 09:04:52+00:00,804417,179804.0,6,5
12,st_step 86827_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 09:52:07+00:00,EMPLOYEE,2017-01-10 09:52:07+00:00,0,0.0,1,1
12,st_step 86826_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 11:06:07+00:00,SUPERVISOR,2017-01-10 09:52:07+00:00,177240,177240.0,5,5
12,dd_declaration 86824_19,SYSTEM,Request Payment,2017-01-16 13:21:49+00:00,UNDEFINED,2017-01-10 09:52:07+00:00,530982,353742.0,6,6
12,dd_declaration 86824_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-10 09:52:07+00:00,801582,270600.0,6,6
13,st_step 86831_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 10:46:39+00:00,EMPLOYEE,2017-01-10 10:46:39+00:00,0,0.0,1,1
13,st_step 86830_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 10:46:45+00:00,SUPERVISOR,2017-01-10 10:46:39+00:00,6,6.0,1,1
13,dd_declaration 86828_19,SYSTEM,Request Payment,2017-01-10 14:39:15+00:00,UNDEFINED,2017-01-10 10:46:39+00:00,13956,13950.0,4,4
13,dd_declaration 86828_20,SYSTEM,Payment Handled,2017-01-12 16:31:22+00:00,UNDEFINED,2017-01-10 10:46:39+00:00,193483,179527.0,5,5
14,st_step 86744_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 10:50:59+00:00,EMPLOYEE,2017-01-10 10:50:59+00:00,0,0.0,1,1
14,st_step 86743_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 10:51:02+00:00,SUPERVISOR,2017-01-10 10:50:59+00:00,3,3.0,1,1
14,st_step 86745_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-10 14:46:59+00:00,MISSING,2017-01-10 10:50:59+00:00,14160,14157.0,4,4
14,st_step 86741_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-17 14:59:44+00:00,EMPLOYEE,2017-01-10 10:50:59+00:00,619725,605565.0,6,6
14,st_step 86742_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-17 14:59:47+00:00,SUPERVISOR,2017-01-10 10:50:59+00:00,619728,3.0,6,1
14,dd_declaration 86739_19,SYSTEM,Request Payment,2017-01-18 08:38:13+00:00,UNDEFINED,2017-01-10 10:50:59+00:00,683234,63506.0,6,5
14,dd_declaration 86739_20,SYSTEM,Payment Handled,2017-01-23 16:32:00+00:00,UNDEFINED,2017-01-10 10:50:59+00:00,1143661,460427.0,6,6
15,st_step 86748_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 11:55:00+00:00,EMPLOYEE,2017-01-10 11:55:00+00:00,0,0.0,1,1
15,st_step 86749_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 11:55:11+00:00,SUPERVISOR,2017-01-10 11:55:00+00:00,11,11.0,1,1
15,dd_declaration 86746_19,SYSTEM,Request Payment,2017-01-12 08:02:17+00:00,UNDEFINED,2017-01-10 11:55:00+00:00,158837,158826.0,5,5
15,dd_declaration 86746_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 11:55:00+00:00,535034,376197.0,6,6
16,st_step 86751_0,STAFF MEMBER,Declaration SAVED by EMPLOYEE,2017-01-10 12:41:35+00:00,EMPLOYEE,2017-01-10 12:41:35+00:00,0,0.0,1,1
17,st_step 86755_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:09:02+00:00,EMPLOYEE,2017-01-10 13:09:02+00:00,0,0.0,1,1
17,st_step 86754_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:10:16+00:00,SUPERVISOR,2017-01-10 13:09:02+00:00,74,74.0,1,1
17,dd_declaration 86752_19,SYSTEM,Request Payment,2017-01-25 09:31:00+00:00,UNDEFINED,2017-01-10 13:09:02+00:00,1282918,1282844.0,7,7
17,dd_declaration 86752_20,SYSTEM,Payment Handled,2017-01-30 16:31:35+00:00,UNDEFINED,2017-01-10 13:09:02+00:00,1740153,457235.0,7,6
18,st_step 86758_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:32:55+00:00,EMPLOYEE,2017-01-10 13:32:55+00:00,0,0.0,1,1
18,st_step 86759_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:33:05+00:00,SUPERVISOR,2017-01-10 13:32:55+00:00,10,10.0,1,1
18,dd_declaration 86756_19,SYSTEM,Request Payment,2017-01-11 16:15:45+00:00,UNDEFINED,2017-01-10 13:32:55+00:00,96170,96160.0,5,5
18,dd_declaration 86756_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:32:55+00:00,529159,432989.0,6,6
19,st_step 86834_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:35:50+00:00,EMPLOYEE,2017-01-10 13:35:50+00:00,0,0.0,1,1
19,st_step 86835_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:35:54+00:00,SUPERVISOR,2017-01-10 13:35:50+00:00,4,4.0,1,1
19,dd_declaration 86832_19,SYSTEM,Request Payment,2017-01-11 16:16:15+00:00,UNDEFINED,2017-01-10 13:35:50+00:00,96025,96021.0,5,5
19,dd_declaration 86832_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:35:50+00:00,528984,432959.0,6,6
20,st_step 86838_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 13:37:53+00:00,EMPLOYEE,2017-01-10 13:37:53+00:00,0,0.0,1,1
20,st_step 86839_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 13:38:00+00:00,SUPERVISOR,2017-01-10 13:37:53+00:00,7,7.0,1,1
20,dd_declaration 86836_19,SYSTEM,Request Payment,2017-01-11 16:16:42+00:00,UNDEFINED,2017-01-10 13:37:53+00:00,95929,95922.0,5,5
20,dd_declaration 86836_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 13:37:53+00:00,528861,432932.0,6,6
21,st_step 86762_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 16:16:10+00:00,EMPLOYEE,2017-01-10 16:16:10+00:00,0,0.0,1,1
21,st_step 86763_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 16:18:15+00:00,SUPERVISOR,2017-01-10 16:16:10+00:00,125,125.0,1,1
21,dd_declaration 86760_19,SYSTEM,Request Payment,2017-01-12 09:07:05+00:00,UNDEFINED,2017-01-10 16:16:10+00:00,147055,146930.0,5,5
21,dd_declaration 86760_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-10 16:16:10+00:00,519364,372309.0,6,6
22,st_step 86770_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-10 18:01:58+00:00,EMPLOYEE,2017-01-10 18:01:58+00:00,0,0.0,1,1
22,st_step 86768_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-10 18:06:23+00:00,SUPERVISOR,2017-01-10 18:01:58+00:00,265,265.0,1,1
22,st_step 86769_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-12 09:48:18+00:00,MISSING,2017-01-10 18:01:58+00:00,143180,142915.0,5,5
22,st_step 86766_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-31 17:23:34+00:00,EMPLOYEE,2017-01-10 18:01:58+00:00,1812096,1668916.0,7,7
22,st_step 86767_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-31 17:23:37+00:00,SUPERVISOR,2017-01-10 18:01:58+00:00,1812099,3.0,7,1
22,dd_declaration 86764_19,SYSTEM,Request Payment,2017-02-06 07:46:13+00:00,UNDEFINED,2017-01-10 18:01:58+00:00,2295855,483756.0,7,6
22,dd_declaration 86764_20,SYSTEM,Payment Handled,2017-02-09 16:31:51+00:00,UNDEFINED,2017-01-10 18:01:58+00:00,2586593,290738.0,7,6
23,st_step 86774_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-11 10:17:42+00:00,EMPLOYEE,2017-01-11 10:17:42+00:00,0,0.0,1,1
23,st_step 86775_0,STAFF MEMBER,Declaration APPROVED by PRE_APPROVER,2017-01-11 10:17:48+00:00,PRE_APPROVER,2017-01-11 10:17:42+00:00,6,6.0,1,1
23,st_step 86773_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-11 14:47:37+00:00,SUPERVISOR,2017-01-11 10:17:42+00:00,16195,16189.0,4,4
23,dd_declaration 86771_19,SYSTEM,Request Payment,2017-01-11 16:17:49+00:00,UNDEFINED,2017-01-11 10:17:42+00:00,21607,5412.0,4,3
23,dd_declaration 86771_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-11 10:17:42+00:00,454472,432865.0,6,6
24,st_step 86845_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-11 19:01:20+00:00,EMPLOYEE,2017-01-11 19:01:20+00:00,0,0.0,1,1
24,st_step 86846_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-11 19:01:25+00:00,SUPERVISOR,2017-01-11 19:01:20+00:00,5,5.0,1,1
24,st_step 86844_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-12 10:53:52+00:00,MISSING,2017-01-11 19:01:20+00:00,57152,57147.0,5,5
24,st_step 86842_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 12:20:00+00:00,EMPLOYEE,2017-01-11 19:01:20+00:00,62320,5168.0,5,3
24,st_step 86843_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 12:20:02+00:00,SUPERVISOR,2017-01-11 19:01:20+00:00,62322,2.0,5,1
24,dd_declaration 86840_19,SYSTEM,Request Payment,2017-01-16 14:44:56+00:00,UNDEFINED,2017-01-11 19:01:20+00:00,416616,354294.0,6,6
24,dd_declaration 86840_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-11 19:01:20+00:00,682229,265613.0,6,6
25,st_step 86781_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 08:46:47+00:00,EMPLOYEE,2017-01-12 08:46:47+00:00,0,0.0,1,1
25,st_step 86782_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 08:46:57+00:00,SUPERVISOR,2017-01-12 08:46:47+00:00,10,10.0,1,1
25,st_step 86780_0,STAFF MEMBER,Declaration REJECTED by MISSING,2017-01-12 09:48:42+00:00,MISSING,2017-01-12 08:46:47+00:00,3715,3705.0,3,3
25,st_step 86778_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-02-01 12:11:47+00:00,EMPLOYEE,2017-01-12 08:46:47+00:00,1740300,1736585.0,7,7
25,st_step 86779_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-02-01 12:12:55+00:00,SUPERVISOR,2017-01-12 08:46:47+00:00,1740368,68.0,7,1
25,dd_declaration 86776_19,SYSTEM,Request Payment,2017-02-06 07:50:08+00:00,UNDEFINED,2017-01-12 08:46:47+00:00,2156601,416233.0,7,6
25,dd_declaration 86776_20,SYSTEM,Payment Handled,2017-02-09 16:31:51+00:00,UNDEFINED,2017-01-12 08:46:47+00:00,2447104,290503.0,7,6
26,st_step 86785_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 10:43:54+00:00,EMPLOYEE,2017-01-12 10:43:54+00:00,0,0.0,1,1
26,st_step 86786_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 10:44:00+00:00,SUPERVISOR,2017-01-12 10:43:54+00:00,6,6.0,1,1
26,dd_declaration 86783_19,SYSTEM,Request Payment,2017-01-17 10:31:27+00:00,UNDEFINED,2017-01-12 10:43:54+00:00,431253,431247.0,6,6
26,dd_declaration 86783_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-12 10:43:54+00:00,625675,194422.0,6,5
27,st_step 86850_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 14:54:04+00:00,EMPLOYEE,2017-01-12 14:54:04+00:00,0,0.0,1,1
27,st_step 86849_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 15:22:34+00:00,SUPERVISOR,2017-01-12 14:54:04+00:00,1710,1710.0,2,2
27,dd_declaration 86847_19,SYSTEM,Request Payment,2017-01-19 14:16:37+00:00,UNDEFINED,2017-01-12 14:54:04+00:00,602553,600843.0,6,6
27,dd_declaration 86847_20,SYSTEM,Payment Handled,2017-01-23 16:32:00+00:00,UNDEFINED,2017-01-12 14:54:04+00:00,956276,353723.0,6,6
28,st_step 86853_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 15:31:10+00:00,EMPLOYEE,2017-01-12 15:31:10+00:00,0,0.0,1,1
28,st_step 86854_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 15:31:54+00:00,SUPERVISOR,2017-01-12 15:31:10+00:00,44,44.0,1,1
28,dd_declaration 86851_19,SYSTEM,Request Payment,2017-01-13 13:08:54+00:00,UNDEFINED,2017-01-12 15:31:10+00:00,77864,77820.0,5,5
28,dd_declaration 86851_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-12 15:31:10+00:00,349264,271400.0,6,6
29,st_step 86574_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 15:36:54+00:00,EMPLOYEE,2017-01-12 15:36:54+00:00,0,0.0,1,1
29,st_step 86575_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 15:37:25+00:00,SUPERVISOR,2017-01-12 15:36:54+00:00,31,31.0,1,1
29,dd_declaration 86572_19,SYSTEM,Request Payment,2017-01-13 13:07:43+00:00,UNDEFINED,2017-01-12 15:36:54+00:00,77449,77418.0,5,5
29,dd_declaration 86572_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-12 15:36:54+00:00,348920,271471.0,6,6
30,st_step 86578_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 15:39:51+00:00,EMPLOYEE,2017-01-12 15:39:51+00:00,0,0.0,1,1
30,st_step 86579_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 15:39:59+00:00,SUPERVISOR,2017-01-12 15:39:51+00:00,8,8.0,1,1
30,dd_declaration 86576_19,SYSTEM,Request Payment,2017-01-13 13:06:58+00:00,UNDEFINED,2017-01-12 15:39:51+00:00,77227,77219.0,5,5
30,dd_declaration 86576_20,SYSTEM,Payment Handled,2017-01-16 16:32:14+00:00,UNDEFINED,2017-01-12 15:39:51+00:00,348743,271516.0,6,6
31,st_step 86857_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-12 15:51:35+00:00,EMPLOYEE,2017-01-12 15:51:35+00:00,0,0.0,1,1
31,st_step 86858_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-12 15:51:49+00:00,SUPERVISOR,2017-01-12 15:51:35+00:00,14,14.0,1,1
31,dd_declaration 86855_19,SYSTEM,Request Payment,2017-01-16 08:54:32+00:00,UNDEFINED,2017-01-12 15:51:35+00:00,320577,320563.0,6,6
31,dd_declaration 86855_20,SYSTEM,Payment Handled,2017-01-19 16:31:49+00:00,UNDEFINED,2017-01-12 15:51:35+00:00,607214,286637.0,6,6
32,st_step 86861_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-13 07:57:38+00:00,EMPLOYEE,2017-01-13 07:57:38+00:00,0,0.0,1,1
32,st_step 86862_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-13 07:57:49+00:00,SUPERVISOR,2017-01-13 07:57:38+00:00,11,11.0,1,1
32,dd_declaration 86859_19,SYSTEM,Request Payment,2017-01-18 08:38:55+00:00,UNDEFINED,2017-01-13 07:57:38+00:00,434477,434466.0,6,6
32,dd_declaration 86859_20,SYSTEM,Payment Handled,2017-01-23 16:32:00+00:00,UNDEFINED,2017-01-13 07:57:38+00:00,894862,460385.0,6,6
33,st_step 86865_0,STAFF MEMBER,Declaration SUBMITTED by EMPLOYEE,2017-01-13 09:19:09+00:00,EMPLOYEE,2017-01-13 09:19:09+00:00,0,0.0,1,1
33,st_step 86866_0,STAFF MEMBER,Declaration FINAL_APPROVED by SUPERVISOR,2017-01-13 09:30:06+00:00,SUPERVISOR,2017-01-13 09:19:09+00:00,657,657.0,2,2
33,dd_declaration 86863_19,SYSTEM,Request Payment,2017-01-16 14:43:50+00:00,UNDEFINED,2017-01-13 09:19:09+00:00,278681,278024.0,6,6
